n_nodes,alpha,run_id,tau
80,0.5,14,94553
80,0.5,15,90164
80,0.5,16,86950
80,0.5,17,92545
80,0.5,18,90205
80,0.5,19,94133
90,0.0,0,2384164
90,0.0,1,2773630
90,0.0,2,1824122
90,0.0,3,3608742
90,0.0,4,2484155
90,0.0,5,2692326
90,0.0,6,2167532
90,0.0,7,2094413
90,0.0,8,2475901
90,0.0,9,2156264
90,0.0,10,2760818
90,0.0,11,2310639
90,0.0,12,2397263
90,0.0,13,2817924
90,0.0,14,2812844
90,0.0,15,3023135
90,0.0,16,2821027
90,0.0,17,2505527
90,0.0,18,2801579
90,0.0,19,3247690
90,0.2,0,236848
90,0.2,1,264958
90,0.2,2,235781
90,0.2,3,260674
90,0.2,4,250316
90,0.2,5,236050
90,0.2,6,269788
90,0.2,7,272887
90,0.2,8,260705
90,0.2,9,221836
90,0.2,10,245083
90,0.2,11,230755
90,0.2,12,252180
90,0.2,13,251326
90,0.2,14,253837
90,0.2,15,271117
90,0.2,16,252369
90,0.2,17,279968
90,0.2,18,237091
90,0.2,19,269266
90,0.5,0,113338
90,0.5,1,116690
90,0.5,2,109167
90,0.5,3,102176
90,0.5,4,115131
90,0.5,5,115625
90,0.5,6,105381
90,0.5,7,116501
90,0.5,8,106754
90,0.5,9,110889
90,0.5,10,113004
90,0.5,11,111256
90,0.5,12,116020
90,0.5,13,109149
90,0.5,14,108374
90,0.5,15,114726
90,0.5,16,109180
90,0.5,17,113985
90,0.5,18,111913
90,0.5,19,119604
100,0.0,0,2933367
100,0.0,1,3382093
100,0.0,2,3776140
100,0.0,3,2374231
100,0.0,4,3092840
100,0.0,5,3489426
100,0.0,6,3297602
100,0.0,7,3455728
100,0.0,8,3867109
100,0.0,9,3102849
100,0.0,10,2931017
100,0.0,11,3146622
100,0.0,12,2664656
100,0.0,13,3062455
100,0.0,14,3162953
100,0.0,15,3084089
100,0.0,16,3511833
100,0.0,17,4136891
100,0.0,18,2883691
100,0.0,19,3496217
100,0.2,0,305872
100,0.2,1,339970
100,0.2,2,318631
100,0.2,3,317019
100,0.2,4,317346
100,0.2,5,339905
100,0.2,6,300690
100,0.2,7,323142
100,0.2,8,309972
100,0.2,9,341810
100,0.2,10,301491
100,0.2,11,324510
100,0.2,12,337723
100,0.2,13,324326
100,0.2,14,310850
100,0.2,15,284923
100,0.2,16,331457
100,0.2,17,333409
100,0.2,18,313437
100,0.2,19,313498
100,0.5,0,123899
100,0.5,1,132572
100,0.5,2,142154
100,0.5,3,138284
100,0.5,4,136711
100,0.5,5,138483
100,0.5,6,134808
100,0.5,7,135264
100,0.5,8,144899
100,0.5,9,144358
100,0.5,10,130840
100,0.5,11,116560
100,0.5,12,138198
100,0.5,13,142225
100,0.5,14,133114
100,0.5,15,148031
100,0.5,16,128233
100,0.5,17,142201
100,0.5,18,124359
100,0.5,19,146527
110,0.0,0,2918197
110,0.0,1,3774238
110,0.0,2,2496898
110,0.0,3,3940916
110,0.0,4,3490207
110,0.0,5,3967908
110,0.0,6,4194798
110,0.0,7,4448232
110,0.0,8,3034604
110,0.0,9,2827800
110,0.0,10,3655590
110,0.0,11,4078805
110,0.0,12,2913935
110,0.0,13,3795372
110,0.0,14,3450518
110,0.0,15,3922434
110,0.0,16,3504442
110,0.0,17,3623425
110,0.0,18,3299395
110,0.0,19,4266223
110,0.2,0,346470
110,0.2,1,357793
110,0.2,2,374354
110,0.2,3,339513
110,0.2,4,343281
110,0.2,5,370431
110,0.2,6,367676
110,0.2,7,360339
110,0.2,8,354498
110,0.2,9,381284
110,0.2,10,357152
110,0.2,11,370308
110,0.2,12,362946
110,0.2,13,333639
110,0.2,14,338469
110,0.2,15,360105
110,0.2,16,368922
110,0.2,17,377075
110,0.2,18,367523
110,0.2,19,382326
110,0.5,0,146820
110,0.5,1,149487
110,0.5,2,158091
110,0.5,3,150717
110,0.5,4,152586
110,0.5,5,153242
110,0.5,6,159554
110,0.5,7,151072
110,0.5,8,139236
110,0.5,9,153499
110,0.5,10,144119
110,0.5,11,153850
110,0.5,12,158739
110,0.5,13,153080
110,0.5,14,141763
110,0.5,15,160721
110,0.5,16,156436
110,0.5,17,154459
110,0.5,18,148925
110,0.5,19,155954
