param_value,n_nodes,run_id,tau
0.1,10,76,6319
0.1,10,77,6297
0.1,10,78,6737
0.1,10,79,10272
0.1,10,80,5546
0.1,10,81,6594
0.1,10,82,5408
0.1,10,83,5863
0.1,10,84,8167
0.1,10,85,7271
0.1,10,86,6473
0.1,10,87,7942
0.1,10,88,7818
0.1,10,89,7107
0.1,10,90,7763
0.1,10,91,7431
0.1,10,92,8274
0.1,10,93,7654
0.1,10,94,9639
0.1,10,95,6111
0.1,10,96,6722
0.1,10,97,7692
0.1,10,98,7992
0.1,10,99,8584
0.1,10,100,8003
0.1,10,101,6737
0.1,10,102,6869
0.1,10,103,4926
0.1,10,104,7968
0.1,10,105,6323
0.1,10,106,7921
0.1,10,107,6198
0.1,10,108,8538
0.1,10,109,7132
0.1,10,110,6999
0.1,10,111,10149
0.1,10,112,8324
0.1,10,113,7800
0.1,10,114,7434
0.1,10,115,8393
0.1,10,116,10083
0.1,10,117,6832
0.1,10,118,6880
0.1,10,119,7107
0.1,10,120,8306
0.1,10,121,7095
0.1,10,122,9463
0.1,10,123,7832
0.1,10,124,6937
0.1,10,125,7132
0.1,10,126,5773
0.1,10,127,8335
0.1,10,128,7307
0.1,10,129,6645
0.1,10,130,7116
0.1,10,131,7100
0.1,10,132,7172
0.1,10,133,8195
0.1,10,134,6251
0.1,10,135,8108
0.1,10,136,5901
0.1,10,137,8254
0.1,10,138,8090
0.1,10,139,5418
0.1,10,140,7013
0.1,10,141,6764
0.1,10,142,8100
0.1,10,143,4946
0.1,10,144,8005
0.1,10,145,3885
0.1,10,146,7884
0.1,10,147,9115
0.1,10,148,6761
0.1,10,149,7496
0.15,10,0,7328
0.15,10,1,6873
0.15,10,2,5199
0.15,10,3,4477
0.15,10,4,5242
0.15,10,5,5200
0.15,10,6,5090
0.15,10,7,4924
0.15,10,8,7348
0.15,10,9,3943
0.15,10,10,4075
0.15,10,11,4654
0.15,10,12,6095
0.15,10,13,5954
0.15,10,14,6233
0.15,10,15,5747
0.15,10,16,6063
0.15,10,17,6154
0.15,10,18,4851
0.15,10,19,5475
0.15,10,20,6278
0.15,10,21,6048
0.15,10,22,4614
0.15,10,23,3988
0.15,10,24,5835
0.15,10,25,6595
0.15,10,26,4603
0.15,10,27,5221
0.15,10,28,5366
0.15,10,29,6129
0.15,10,30,5382
0.15,10,31,4437
0.15,10,32,4619
0.15,10,33,5831
0.15,10,34,6479
0.15,10,35,5745
0.15,10,36,6172
0.15,10,37,5554
0.15,10,38,6132
0.15,10,39,5365
0.15,10,40,4940
0.15,10,41,4913
0.15,10,42,5649
0.15,10,43,6015
0.15,10,44,5053
0.15,10,45,5451
0.15,10,46,4344
