n_nodes,alpha,rebalance_active,run_id,tau,rebalances_done
30,0.0,False,9,325996,0
30,0.0,False,10,320755,0
30,0.0,False,11,433827,0
30,0.0,False,12,352960,0
30,0.0,False,13,429257,0
30,0.0,False,14,378238,0
30,0.0,False,15,355985,0
30,0.0,False,16,359740,0
30,0.0,False,17,395135,0
30,0.0,False,18,456987,0
30,0.0,False,19,447091,0
30,0.2,False,0,54049,0
30,0.2,False,1,49218,0
30,0.2,False,2,45153,0
30,0.2,False,3,50753,0
30,0.2,False,4,51082,0
30,0.2,False,5,50199,0
30,0.2,False,6,53010,0
30,0.2,False,7,47818,0
30,0.2,False,8,47507,0
30,0.2,False,9,52058,0
30,0.2,False,10,45548,0
30,0.2,False,11,48757,0
30,0.2,False,12,55061,0
30,0.2,False,13,52772,0
30,0.2,False,14,51309,0
30,0.2,False,15,45052,0
30,0.2,False,16,49405,0
30,0.2,False,17,47062,0
30,0.2,False,18,51373,0
30,0.2,False,19,49511,0
30,0.2,True,0,50420,108
30,0.2,True,1,47900,84
30,0.2,True,2,49090,178
30,0.2,True,3,47670,85
30,0.2,True,4,49750,81
30,0.2,True,5,49030,34
30,0.2,True,6,50900,185
30,0.2,True,7,50290,136
30,0.2,True,8,48980,169
30,0.2,True,9,49190,123
30,0.2,True,10,50260,171
30,0.2,True,11,48460,45
30,0.2,True,12,49960,239
30,0.2,True,13,45950,13
30,0.2,True,14,47690,69
30,0.2,True,15,49870,86
30,0.2,True,16,48310,227
30,0.2,True,17,47500,75
30,0.2,True,18,49290,88
30,0.2,True,19,50730,274
30,0.4,False,0,28082,0
30,0.4,False,1,27973,0
30,0.4,False,2,26396,0
30,0.4,False,3,23766,0
30,0.4,False,4,28747,0
30,0.4,False,5,28258,0
30,0.4,False,6,28029,0
30,0.4,False,7,29570,0
30,0.4,False,8,27769,0
30,0.4,False,9,26653,0
30,0.4,False,10,27310,0
30,0.4,False,11,27668,0
30,0.4,False,12,27376,0
30,0.4,False,13,28680,0
30,0.4,False,14,26280,0
30,0.4,False,15,27632,0
30,0.4,False,16,25841,0
30,0.4,False,17,26777,0
30,0.4,False,18,25037,0
30,0.4,False,19,26833,0
30,0.4,True,0,25660,90
30,0.4,True,1,23910,43
30,0.4,True,2,24440,53
30,0.4,True,3,24730,115
30,0.4,True,4,25000,147
30,0.4,True,5,23760,80
30,0.4,True,6,25000,43
30,0.4,True,7,24390,18
30,0.4,True,8,24610,34
30,0.4,True,9,23980,85
30,0.4,True,10,25180,197
30,0.4,True,11,24230,56
30,0.4,True,12,23310,8
30,0.4,True,13,25290,127
30,0.4,True,14,21890,11
30,0.4,True,15,22900,19
30,0.4,True,16,23080,8
30,0.4,True,17,23850,48
30,0.4,True,18,24630,83
30,0.4,True,19,25160,178
30,0.6,False,0,17859,0
30,0.6,False,1,17248,0
30,0.6,False,2,16794,0
30,0.6,False,3,19044,0
30,0.6,False,4,18438,0
30,0.6,False,5,17879,0
30,0.6,False,6,19355,0
30,0.6,False,7,17746,0
30,0.6,False,8,19009,0
30,0.6,False,9,18964,0
30,0.6,False,10,19242,0
30,0.6,False,11,19599,0
30,0.6,False,12,19336,0
30,0.6,False,13,19841,0
30,0.6,False,14,18734,0
30,0.6,False,15,19513,0
30,0.6,False,16,20003,0
30,0.6,False,17,18073,0
30,0.6,False,18,18135,0
30,0.6,False,19,19793,0
30,0.6,True,0,16300,43
30,0.6,True,1,16470,77
30,0.6,True,2,15780,48
30,0.6,True,3,15920,31
30,0.6,True,4,15780,25
30,0.6,True,5,16360,59
30,0.6,True,6,16450,18
30,0.6,True,7,16580,60
30,0.6,True,8,16400,37
30,0.6,True,9,16490,88
30,0.6,True,10,16720,82
30,0.6,True,11,16710,41
30,0.6,True,12,15400,8
30,0.6,True,13,16450,51
30,0.6,True,14,16080,64
30,0.6,True,15,16530,89
30,0.6,True,16,16280,31
30,0.6,True,17,15660,24
30,0.6,True,18,16590,85
30,0.6,True,19,16740,65
40,0.0,False,0,582964,0
40,0.0,False,1,595959,0
40,0.0,False,2,312420,0
40,0.0,False,3,702227,0
40,0.0,False,4,620698,0
40,0.0,False,5,625509,0
40,0.0,False,6,735165,0
40,0.0,False,7,699736,0
40,0.0,False,8,602861,0
40,0.0,False,9,757695,0
40,0.0,False,10,700374,0
40,0.0,False,11,554592,0
40,0.0,False,12,646382,0
40,0.0,False,13,644393,0
40,0.0,False,14,798718,0
40,0.0,False,15,729065,0
40,0.0,False,16,854440,0
40,0.0,False,17,538084,0
40,0.0,False,18,584729,0
40,0.0,False,19,586427,0
40,0.2,False,0,65600,0
40,0.2,False,1,72939,0
40,0.2,False,2,76016,0
40,0.2,False,3,79674,0
40,0.2,False,4,75542,0
40,0.2,False,5,73976,0
40,0.2,False,6,81492,0
40,0.2,False,7,75689,0
40,0.2,False,8,78986,0
40,0.2,False,9,81788,0
40,0.2,False,10,84378,0
40,0.2,False,11,79764,0
40,0.2,False,12,80763,0
40,0.2,False,13,80992,0
40,0.2,False,14,75016,0
40,0.2,False,15,78768,0
40,0.2,False,16,79500,0
40,0.2,False,17,83027,0
40,0.2,False,18,77114,0
40,0.2,False,19,76974,0
40,0.2,True,0,68730,12
40,0.2,True,1,66200,32
40,0.2,True,2,71960,41
40,0.2,True,3,80120,136
40,0.2,True,4,76860,172
40,0.2,True,5,73850,57
40,0.2,True,6,68960,18
40,0.2,True,7,78980,170
40,0.2,True,8,79510,202
40,0.2,True,9,76740,116
40,0.2,True,10,74760,145
40,0.2,True,11,77700,117
40,0.2,True,12,77000,109
40,0.2,True,13,80640,248
40,0.2,True,14,75070,61
40,0.2,True,15,77030,47
40,0.2,True,16,73660,33
40,0.2,True,17,70350,36
40,0.2,True,18,74890,67
40,0.2,True,19,77990,144
40,0.4,False,0,40952,0
40,0.4,False,1,41221,0
40,0.4,False,2,38538,0
40,0.4,False,3,44233,0
40,0.4,False,4,40601,0
40,0.4,False,5,45307,0
40,0.4,False,6,44344,0
40,0.4,False,7,44066,0
40,0.4,False,8,43105,0
40,0.4,False,9,45206,0
40,0.4,False,10,42086,0
40,0.4,False,11,44037,0
40,0.4,False,12,42950,0
40,0.4,False,13,43312,0
40,0.4,False,14,42804,0
40,0.4,False,15,43854,0
40,0.4,False,16,42060,0
40,0.4,False,17,42977,0
40,0.4,False,18,41897,0
40,0.4,False,19,45027,0
40,0.4,True,0,39500,60
40,0.4,True,1,39030,115
40,0.4,True,2,35490,14
40,0.4,True,3,38700,28
40,0.4,True,4,37350,40
40,0.4,True,5,40310,41
40,0.4,True,6,36820,10
40,0.4,True,7,39290,64
40,0.4,True,8,38200,148
40,0.4,True,9,38000,25
40,0.4,True,10,37170,31
40,0.4,True,11,39130,131
40,0.4,True,12,38950,94
40,0.4,True,13,39140,70
40,0.4,True,14,39700,112
40,0.4,True,15,38680,83
40,0.4,True,16,35140,8
40,0.4,True,17,38170,51
40,0.4,True,18,36570,32
40,0.4,True,19,38420,46
40,0.6,False,0,28406,0
40,0.6,False,1,28700,0
40,0.6,False,2,29194,0
40,0.6,False,3,31700,0
40,0.6,False,4,28411,0
40,0.6,False,5,29498,0
40,0.6,False,6,28412,0
40,0.6,False,7,28793,0
40,0.6,False,8,29300,0
40,0.6,False,9,29943,0
40,0.6,False,10,27825,0
40,0.6,False,11,29664,0
40,0.6,False,12,29088,0
40,0.6,False,13,30366,0
40,0.6,False,14,28837,0
40,0.6,False,15,28745,0
40,0.6,False,16,25555,0
40,0.6,False,17,28359,0
40,0.6,False,18,28462,0
40,0.6,False,19,28741,0
40,0.6,True,0,26390,147
40,0.6,True,1,26530,188
40,0.6,True,2,25110,13
40,0.6,True,3,26980,50
40,0.6,True,4,26380,233
40,0.6,True,5,26600,113
40,0.6,True,6,25880,90
40,0.6,True,7,26230,83
40,0.6,True,8,25390,56
40,0.6,True,9,25030,45
40,0.6,True,10,26080,31
40,0.6,True,11,26230,180
40,0.6,True,12,26480,158
40,0.6,True,13,25570,37
40,0.6,True,14,23380,3
40,0.6,True,15,26540,280
40,0.6,True,16,24660,28
40,0.6,True,17,26560,89
40,0.6,True,18,25360,35
40,0.6,True,19,26660,97
50,0.0,False,0,1098337,0
50,0.0,False,1,957496,0
50,0.0,False,2,1033140,0
50,0.0,False,3,1102782,0
50,0.0,False,4,1071167,0
50,0.0,False,5,793240,0
50,0.0,False,6,949684,0
50,0.0,False,7,886389,0
50,0.0,False,8,833920,0
50,0.0,False,9,817424,0
50,0.0,False,10,1075012,0
50,0.0,False,11,806133,0
50,0.0,False,12,634681,0
50,0.0,False,13,662087,0
50,0.0,False,14,1209596,0
50,0.0,False,15,794708,0
50,0.0,False,16,1190949,0
50,0.0,False,17,933408,0
50,0.0,False,18,723155,0
50,0.0,False,19,815965,0
50,0.2,False,0,118069,0
50,0.2,False,1,112702,0
50,0.2,False,2,118603,0
50,0.2,False,3,122947,0
50,0.2,False,4,124043,0
50,0.2,False,5,115371,0
50,0.2,False,6,112293,0
50,0.2,False,7,115949,0
50,0.2,False,8,109961,0
50,0.2,False,9,126269,0
50,0.2,False,10,114344,0
50,0.2,False,11,105482,0
50,0.2,False,12,114682,0
50,0.2,False,13,111117,0
50,0.2,False,14,118045,0
50,0.2,False,15,111122,0
50,0.2,False,16,114290,0
50,0.2,False,17,114353,0
50,0.2,False,18,98705,0
50,0.2,False,19,118843,0
50,0.2,True,0,108170,32
50,0.2,True,1,106990,79
50,0.2,True,2,106620,74
50,0.2,True,3,113120,180
50,0.2,True,4,101840,29
50,0.2,True,5,109870,63
50,0.2,True,6,103820,24
50,0.2,True,7,115360,127
50,0.2,True,8,107950,47
50,0.2,True,9,101190,26
50,0.2,True,10,102610,26
50,0.2,True,11,113130,193
50,0.2,True,12,107570,51
50,0.2,True,13,105420,46
50,0.2,True,14,105920,38
50,0.2,True,15,111170,97
50,0.2,True,16,106740,40
50,0.2,True,17,106790,63
50,0.2,True,18,103950,19
