param_value,n_nodes,run_id,tau
0.3,80,7,63318
0.3,80,8,61220
0.3,80,9,60724
0.3,80,10,61701
0.3,80,11,64518
0.35,80,0,55164
0.35,80,1,52572
0.35,80,2,58755
0.35,80,3,57502
0.35,80,4,54584
0.35,80,5,50191
0.35,80,6,57737
0.35,80,7,58066
0.35,80,8,50872
0.35,80,9,52795
0.35,80,10,53137
0.35,80,11,54129
0.4,80,0,47472
0.4,80,1,47107
0.4,80,2,46306
0.4,80,3,49507
0.4,80,4,47397
0.4,80,5,49836
0.4,80,6,47786
0.4,80,7,43519
0.4,80,8,47739
0.4,80,9,46112
0.4,80,10,44785
0.4,80,11,47116
0.45,80,0,41300
0.45,80,1,44713
0.45,80,2,42005
0.45,80,3,43997
0.45,80,4,43820
0.45,80,5,42124
0.45,80,6,40217
0.45,80,7,38078
0.45,80,8,40104
0.45,80,9,40101
0.45,80,10,33934
0.45,80,11,44779
0.5,80,0,39432
0.5,80,1,40422
0.5,80,2,40445
0.5,80,3,39215
0.5,80,4,39392
0.5,80,5,36679
0.5,80,6,35639
0.5,80,7,36503
0.5,80,8,37452
0.5,80,9,34921
0.5,80,10,33842
0.5,80,11,40553
0.55,80,0,36465
0.55,80,1,36041
0.55,80,2,33010
0.55,80,3,37530
0.55,80,4,35074
0.55,80,5,35819
0.55,80,6,34114
0.55,80,7,36399
0.55,80,8,33246
0.55,80,9,33480
0.55,80,10,34525
0.55,80,11,37560
0.6,80,0,34177
0.6,80,1,29652
0.6,80,2,30393
0.6,80,3,30170
0.6,80,4,31256
0.6,80,5,32029
0.6,80,6,29752
0.6,80,7,32236
0.6,80,8,32038
0.6,80,9,32630
0.6,80,10,33281
0.6,80,11,35033
0.0,120,0,1109738
0.0,120,1,926136
0.0,120,2,921431
0.0,120,3,1184245
0.0,120,4,1087995
0.0,120,5,1030547
0.0,120,6,1101134
0.0,120,7,1228051
0.0,120,8,888401
0.0,120,9,1011939
0.0,120,10,1081447
0.0,120,11,839139
0.05,120,0,468708
0.05,120,1,459212
0.05,120,2,405616
0.05,120,3,466577
0.05,120,4,458725
0.05,120,5,413855
0.05,120,6,501035
0.05,120,7,472481
0.05,120,8,483480
0.05,120,9,487620
0.05,120,10,481870
0.05,120,11,429802
0.05,120,0,468708
0.05,120,1,459212
0.05,120,2,405616
0.05,120,3,466577
0.05,120,4,458725
0.05,120,5,413855
0.05,120,6,501035
0.05,120,7,472481
0.05,120,8,483480
0.05,120,9,487620
0.05,120,10,481870
0.05,120,11,429802
0.1,120,0,276490
0.1,120,1,238454
0.1,120,2,273050
0.1,120,3,304866
0.1,120,4,249348
0.1,120,5,280348
0.1,120,6,231024
0.1,120,7,268530
0.1,120,8,297863
0.1,120,9,299260
0.1,120,10,309738
0.1,120,11,240836
0.1,120,0,276490
0.1,120,1,238454
0.1,120,2,273050
0.1,120,3,304866
0.1,120,4,249348
0.1,120,5,280348
0.1,120,6,231024
0.1,120,7,268530
0.1,120,8,297863
0.1,120,9,299260
0.1,120,10,309738
0.1,120,11,240836
0.15,120,0,235022
0.15,120,1,191846
0.15,120,2,203018
0.15,120,3,211383
0.15,120,4,181883
0.15,120,5,199205
0.15,120,6,182958
0.15,120,7,189242
0.15,120,8,187933
0.15,120,9,210116
0.15,120,10,196486
0.15,120,11,188121
0.15,120,0,235022
0.15,120,1,191846
0.15,120,2,203018
0.15,120,3,211383
0.15,120,4,181883
0.15,120,5,199205
0.15,120,6,182958
0.15,120,7,189242
0.15,120,8,187933
0.15,120,9,210116
0.15,120,10,196486
0.15,120,11,188121
0.2,120,0,159173
0.2,120,1,163643
0.2,120,2,169255
0.2,120,3,143242
0.2,120,4,167403
0.2,120,5,153586
0.2,120,6,160648
0.2,120,7,155509
0.2,120,8,162763
0.2,120,9,166227
0.2,120,10,164372
0.2,120,11,168368
0.2,120,0,159173
0.2,120,1,163643
0.2,120,2,169255
0.2,120,3,143242
0.2,120,4,167403
0.2,120,5,153586
0.2,120,6,160648
0.2,120,7,155509
0.2,120,8,162763
0.2,120,9,166227
0.2,120,10,164372
0.2,120,11,168368
0.25,120,0,133658
0.25,120,1,132710
0.25,120,2,125623
0.25,120,3,123485
0.25,120,4,125426
0.25,120,5,130034
0.25,120,6,134301
0.25,120,7,107062
0.25,120,8,143033
0.25,120,9,129721
0.25,120,10,117611
0.25,120,11,142208
0.25,120,0,133658
0.25,120,1,132710
0.25,120,2,125623
0.25,120,3,123485
0.25,120,4,125426
0.25,120,5,130034
0.25,120,6,134301
0.25,120,7,107062
0.25,120,8,143033
0.25,120,9,129721
0.25,120,10,117611
0.25,120,11,142208
0.3,120,0,110695
0.3,120,1,113346
0.3,120,2,114432
0.3,120,3,105557
0.3,120,4,100228
0.3,120,5,115822
0.3,120,6,114992
0.3,120,7,113074
0.3,120,8,104998
0.3,120,9,116545
0.3,120,10,119159
0.3,120,11,113930
0.3,120,0,110695
0.3,120,1,113346
0.3,120,2,114432
0.3,120,3,105557
0.3,120,4,100228
0.3,120,5,115822
0.3,120,6,114992
0.3,120,7,113074
0.3,120,8,104998
0.3,120,9,116545
0.3,120,10,119159
0.3,120,11,113930
0.35,120,0,99559
0.35,120,1,95819
0.35,120,2,95883
0.35,120,3,94111
0.35,120,4,95333
0.35,120,5,104543
0.35,120,6,98074
0.35,120,7,94767
0.35,120,8,92596
0.35,120,9,93723
0.35,120,10,102028
0.35,120,11,94942
0.35,120,0,99559
0.35,120,1,95819
0.35,120,2,95883
0.35,120,3,94111
0.35,120,4,95333
0.35,120,5,104543
0.35,120,6,98074
0.35,120,7,94767
0.35,120,8,92596
0.35,120,9,93723
0.35,120,10,102028
0.35,120,11,94942
0.4,120,0,87659
0.4,120,1,80098
0.4,120,2,89517
0.4,120,3,87430
0.4,120,4,83873
0.4,120,5,78220
0.4,120,6,95626
0.4,120,7,81174
0.4,120,8,79915
0.4,120,9,88403
0.4,120,10,89364
0.4,120,11,84149
0.4,120,0,87659
0.4,120,1,80098
0.4,120,2,89517
0.4,120,3,87430
0.4,120,4,83873
0.4,120,5,78220
0.4,120,6,95626
0.4,120,7,81174
0.4,120,8,79915
0.4,120,9,88403
0.4,120,10,89364
0.4,120,11,84149
0.45,120,0,80190
0.45,120,1,70266
0.45,120,2,76294
0.45,120,3,68279
0.45,120,4,78339
0.45,120,5,73252
0.45,120,6,80074
0.45,120,7,80752
0.45,120,8,74082
0.45,120,9,77691
0.45,120,10,79047
0.45,120,11,62670
0.45,120,0,80190
0.45,120,1,70266
0.45,120,2,76294
0.45,120,3,68279
0.45,120,4,78339
0.45,120,5,73252
0.45,120,6,80074
0.45,120,7,80752
0.45,120,8,74082
0.45,120,9,77691
0.45,120,10,79047
0.45,120,11,62670
0.5,120,0,70748
0.5,120,1,65170
0.5,120,2,63890
0.5,120,3,67370
0.5,120,4,70309
0.5,120,5,64436
0.5,120,6,70742
0.5,120,7,71526
0.5,120,8,66244
0.5,120,9,74663
0.5,120,10,65672
0.5,120,11,61797
0.55,120,0,64927
0.55,120,1,63986
0.55,120,2,63168
0.55,120,3,60725
0.55,120,4,61560
0.55,120,5,62309
0.55,120,6,60054
0.55,120,7,63286
0.55,120,8,64592
0.55,120,9,68708
0.55,120,10,63537
0.55,120,11,60702
0.6,120,0,55593
0.6,120,1,57854
0.6,120,2,59535
0.6,120,3,56878
0.6,120,4,56299
0.6,120,5,54653
0.6,120,6,57445
0.6,120,7,61538
0.6,120,8,56329
0.6,120,9,60377
0.6,120,10,61138
0.6,120,11,56123
